GDP (current US$),"Inflation, GDP deflator (annual %)",Imports of goods and services (current US$),Exports of goods and services (annual % growth),General government final consumption expenditure (current US$),Tax revenue (current LCU),"Foreign direct investment, net outflows (% of GDP)"
112603316134.0,35.0,26594240004.0,6.0,10060257415.0,1543994683379680.0,0.0
112603316134.0,13.9360155112959,26594240004.0,9.03846154281507,10060257415.0,1543994683379680.0,0.0
112603316134.0,178.866740355344,26594240004.0,-8.6419753128403,10060257415.0,1543994683379680.0,0.0
112603316134.0,145.841086263139,26594240004.0,-5.9845559831604,10060257415.0,1543994683379680.0,0.0
112603316134.0,114.731159312605,26594240004.0,11.9096509206336,10060257415.0,1543994683379680.0,0.0
112603316134.0,228.818940761814,26594240004.0,3.11926605998289,10060257415.0,1543994683379680.0,0.0
112603316134.0,-98.7038313429228,26594240004.0,-1.06761566000164,10060257415.0,1543994683379680.0,0.0
5667756627.92093,164.721840661348,955991033.018038,-0.17985611538694,417828248.696695,1543994683379680.0,0.0
7076465299.81141,122.972806486885,1102291012.98155,10.4504504484078,527857668.188346,1543994683379680.0,0.0
8337423312.88344,21.3532019264298,1236196319.0184,14.0293637901749,610429447.852761,1543994683379680.0,0.0
9150684931.50685,14.2530718759154,1449315068.49315,17.7396280380633,802739726.027397,1543994683379680.0,0.0
9333536369.94567,2.72473710580708,1553301763.52772,11.7861482378235,866758143.287439,1543994683379680.0,0.0
10997590361.4458,16.1198390334705,2078072289.15663,22.8260869531646,997590361.445783,1543994683379680.0,0.0
16273253012.0482,36.8784795093462,3170120481.92771,24.778761064967,1725301204.81928,1543994683379680.0,0.0
25802409638.5542,47.8605765830296,5526987951.80723,3.62548918166317,2026506024.09639,1543994683379680.0,0.0
30463855421.6867,11.7969444729108,6693975903.61446,-9.73350434674623,3020963855.42169,1543994683379680.0,0.0
37269156626.506,14.2504114254523,7764096385.54217,12.5039469554548,3832530120.48193,1543994683379680.0,0.0
45808915662.6506,13.5310151921066,9198072289.15663,22.3687903423892,5005542168.6747,1543994683379680.0,0.0
51455719075.8254,11.9567251224686,10727293583.8198,1.85206422073215,6014930601.0161,1543994683379680.0,0.0
51400186342.8889,31.4093613529119,12125156524.653,2.57276361116145,5992039309.19025,1543994683379680.0,0.0
72482337397.4439,29.0047047883016,16076492704.4529,-5.63666300768885,7477312357.09202,1543994683379680.0,0.0082778787432034
85518233419.0479,10.2001022432673,21847220117.652,-2.39050776666161,9161548544.35943,1543994683379680.0,-0.0011693412738075
90158449294.9921,7.94971663537379,23709141548.5704,-13.9375521387506,10328838220.1782,1543994683379680.0,-0.0033274751545295
81052283383.7155,18.3824672375424,23354265849.655,6.27985875484531,8883377594.05035,1543994683379680.0,0.0024675430678882
84853700027.651,10.5597225268741,19342945144.1934,6.53952738436962,8890773850.86424,1543994683379680.0,0.0212129818665944
85289488375.4435,6.19041993354497,17860217183.8139,-7.80424594096321,10264996668.4075,1543994683379680.0,0.0386917551372032
79954072544.5279,2.35606885998352,16401727039.9031,15.2123397640317,8988818823.02558,1543994683379680.0,-0.0137578983157786
75929617557.7521,15.921980396328,17006296443.198,14.6235802748864,7156066655.562,1543994683379680.0,-0.0065850456789104
84300174485.7973,7.78479726940087,18725515167.3194,1.05147447100831,7567064347.62185,1543994683379680.0,0.0308421662927642
94451427876.6628,9.14952758156124,21718472096.2059,10.446464608441,8868399645.64163,1543994683379680.0,0.0338798477898994
106140727333.636,9.11205705320339,27157275246.8897,0.451046176557753,10119925224.4802,1543994683379680.0,-0.0103635996062316
116621996217.133,8.90574357851041,30891188671.1508,19.8802610957259,10657020932.8224,1543994683379680.0,0.0111471252608263
